Wavelength (nm),i
878.5999756,0.001021504
878.7999878,0.001043468
879,0.001354135
879.2000122,0.001090195
879.4000244,0.001244197
879.5999756,0.000469193
879.7999878,0.000986094
880,0.000951849
880.2000122,0.00051296
880.4000244,0.000946382
880.5999756,0.000917947
880.7999878,0.000379539
881,0.001129527
881.2000122,0.000712018
881.4000244,0.000626521
881.5999756,0.000516767
881.7999878,0.000579095
882,0.00091367
882.2000122,0.000401683
882.4000244,0.00088884
882.5999756,0.000242015
882.7999878,0.000672467
883,0.000555828
883.2000122,0.000994341
883.4000244,0.000443531
883.5999756,0.000466925
883.7999878,0.000606224
884,0.000852245
884.2000122,0.000816406
884.4000244,0.00047216
884.5999756,0.000293451
884.7999878,0.000821259
885,0.000661972
885.2000122,0.000674024
885.4000244,0.000771035
885.5999756,0.000987119
885.7999878,0.000702692
886,0.001131245
886.2000122,0.000599269
886.4000244,0.000972055
886.5999756,0.001098093
886.7999878,0.001124968
887,0.000663496
887.2000122,0.000779915
887.4000244,0.001069517
887.5999756,0.000722329
887.7999878,0.000857864
888,0.001331204
888.2000122,0.000989373
888.4000244,0.001333768
888.5999756,0.001078209
888.7999878,0.001069094
889,0.001418859
889.2000122,0.001724481
889.4000244,0.001065623
889.5999756,0.001316081
889.7999878,0.001387729
890,0.001622535
890.2000122,0.001267592
890.4000244,0.001491287
890.5999756,0.001340131
890.7999878,0.00141017
891,0.001765801
891.2000122,0.001152452
891.4000244,0.001524247
891.5999756,0.001966955
891.7999878,0.001243468
892,0.001588239
892.2000122,0.00222025
892.4000244,0.001285062
892.5999756,0.001571298
892.7999878,0.00121905
893,0.001582182
893.2000122,0.001768984
893.4000244,0.001504487
893.5999756,0.001405047
893.7999878,0.001668211
894,0.001490891
894.2000122,0.001751333
894.4000244,0.001773955
894.5999756,0.001857366
894.7999878,0.00150779
895,0.001955356
895.2000122,0.001709421
895.4000244,0.00183592
895.5999756,0.001642791
895.7999878,0.001976804
896,0.001876693
896.2000122,0.001750226
896.4000244,0.001842633
896.5999756,0.001774676
896.7999878,0.002006552
897,0.001830549
897.2000122,0.002006685
897.4000244,0.002061887
897.5999756,0.00212475
897.7999878,0.002229118
898,0.002321762
898.2000122,0.002048941
898.4000244,0.002156919
898.5999756,0.001844396
898.7999878,0.002248864
899,0.002216876
899.2000122,0.00217418
899.4000244,0.002366788
899.5999756,0.002250449
899.7999878,0.002125958
900,0.002367725
900.2000122,0.002018339
900.4000244,0.001856283
900.5999756,0.002375926
900.7999878,0.002297212
901,0.002538478
901.2000122,0.001993041
901.4000244,0.002202289
901.5999756,0.002264504
