Wavelength (nm),u
910.4000244,0.005069781
910.5999756,0.00483665
910.7999878,0.005122134
911,0.005214719
911.2000122,0.004993727
911.4000244,0.005204219
911.5999756,0.005083376
911.7999878,0.005423048
912,0.005394301
912.2000122,0.005366669
912.4000244,0.005376062
912.5999756,0.005285535
912.7999878,0.005278072
913,0.005117069
913.2000122,0.005395287
913.4000244,0.005141315
913.5999756,0.005406323
913.7999878,0.005254549
914,0.005100412
914.2000122,0.00540514
914.4000244,0.005333821
914.5999756,0.005359262
914.7999878,0.00515381
915,0.00521596
915.2000122,0.005227303
915.4000244,0.005199509
915.5999756,0.005295491
915.7999878,0.005025088
916,0.005055031
916.2000122,0.005117734
916.4000244,0.00515222
916.5999756,0.005131397
916.7999878,0.005139308
917,0.005126388
917.2000122,0.005116782
917.4000244,0.004925555
917.5999756,0.005039388
917.7999878,0.005012704
918,0.005095874
918.2000122,0.005060557
918.4000244,0.004936574
918.5999756,0.0048783
918.7999878,0.004830779
919,0.004971861
919.2000122,0.004854866
919.4000244,0.004739611
919.5999756,0.004720503
919.7999878,0.004894192
920,0.004704737
920.2000122,0.004780876
920.4000244,0.004764172
920.5999756,0.004653436
920.7999878,0.004394308
921,0.004640894
921.2000122,0.004741639
921.4000244,0.004452978
921.5999756,0.004423938
921.7999878,0.004496631
922,0.004465456
922.2000122,0.004311117
922.4000244,0.004379053
922.5999756,0.004362417
922.7999878,0.004364781
923,0.004451693
923.2000122,0.004464678
923.4000244,0.004141337
923.5999756,0.003940962
923.7999878,0.00412433
924,0.00404395
924.2000122,0.004226944
924.4000244,0.004184954
924.5999756,0.004148023
924.7999878,0.004094545
925,0.004093299
925.2000122,0.004208928
925.4000244,0.004006986
925.5999756,0.003994982
925.7999878,0.004123569
926,0.003972317
926.2000122,0.003947791
926.4000244,0.003716176
926.5999756,0.003875589
926.7999878,0.004023009
927,0.003852853
927.2000122,0.003709211
927.4000244,0.003746859
927.5999756,0.00389629
927.7999878,0.003713735
928,0.003913769
928.2000122,0.003774081
928.4000244,0.003852923
928.5999756,0.00362598
928.7999878,0.003792612
929,0.003710071
929.2000122,0.003673372
929.4000244,0.003752134
929.5999756,0.003789712
929.7999878,0.003619352
930,0.003703162
930.2000122,0.003871497
930.4000244,0.003702953
930.5999756,0.003824629
930.7999878,0.003732241
931,0.003688028
931.2000122,0.00373924
931.4000244,0.003882046
931.5999756,0.003884358
931.7999878,0.003900805
932,0.003972996
932.2000122,0.003796722
932.4000244,0.003980083
932.5999756,0.003876982
932.7999878,0.003928559
933,0.004046391
933.2000122,0.003950371
933.4000244,0.004002683
933.5999756,0.004101211
933.7999878,0.004056182
934,0.004039028
934.2000122,0.004045221
934.4000244,0.004046869
934.5999756,0.004291116
934.7999878,0.004249825
935,0.00424227
935.2000122,0.004214343
935.4000244,0.00425087
935.5999756,0.004181634
935.7999878,0.004431687
936,0.004323344
936.2000122,0.004479918
936.4000244,0.004301559
936.5999756,0.004339837
936.7999878,0.004411202
937,0.004325501
937.2000122,0.004511524
937.4000244,0.00447121
937.5999756,0.004568722
937.7999878,0.004645319
938,0.004565037
938.2000122,0.004662286
938.4000244,0.004552778
938.5999756,0.004749182
938.7999878,0.004828208
939,0.004773648
939.2000122,0.004727444
939.4000244,0.004844625
939.5999756,0.004951247
939.7999878,0.004990039
940,0.004883994
940.2000122,0.005060256
940.4000244,0.005085093
940.5999756,0.005016637
940.7999878,0.005200003
941,0.005102975
941.2000122,0.005074231
941.4000244,0.00506043
941.5999756,0.005099206
941.7999878,0.005099329
942,0.005198954
942.2000122,0.005265669
942.4000244,0.005363098
942.5999756,0.005452324
942.7999878,0.005639928
943,0.00564813
943.2000122,0.005798928
943.4000244,0.005802065
943.5999756,0.005728703
943.7999878,0.005666917
944,0.005734778
944.2000122,0.005937058
944.4000244,0.005959929
944.5999756,0.00591646
944.7999878,0.005975693
