Wavelength (nm),y
970.5999756,98.09078217
970.7999878,98.14168549
971,98.19509125
971.2000122,98.12891388
971.4000244,98.23274231
971.5999756,98.23661041
971.7999878,98.3285141
972,98.36846924
972.2000122,98.40407562
972.4000244,98.47633362
972.5999756,98.55617523
972.7999878,98.60499573
973,98.76105499
973.2000122,98.67344666
973.4000244,98.77624512
973.5999756,98.90882111
973.7999878,98.97045135
974,98.99893951
974.2000122,99.14791107
974.4000244,99.11209869
974.5999756,99.24459076
974.7999878,99.35621643
975,99.38169861
975.2000122,99.40914154
975.4000244,99.4131546
975.5999756,99.50505066
975.7999878,99.53060913
976,99.65099335
976.2000122,99.58407593
976.4000244,99.67255402
976.5999756,99.73045349
976.7999878,99.6997757
977,99.76830292
