Wavelength (nm),g
828.5999756,0.003474352
828.7999878,0.004895955
829,0.005990308
829.2000122,0.002771411
829.4000244,0.0053482
829.5999756,0.004999723
829.7999878,0.002689356
830,0.004846487
830.2000122,0.002791716
830.4000244,0.005306255
830.5999756,0.003576535
830.7999878,0.004176437
831,0.003722186
831.2000122,0.003669021
831.4000244,0.00406811
831.5999756,0.004481683
831.7999878,0.002794236
832,0.003441657
832.2000122,0.002812715
832.4000244,0.003795555
832.5999756,0.002992507
832.7999878,0.003923855
833,0.005500653
833.2000122,0.00419492
833.4000244,0.004475908
833.5999756,0.004817662
833.7999878,0.003088427
834,0.005205983
834.2000122,0.004116121
834.4000244,0.004245909
834.5999756,0.00381024
834.7999878,0.004320045
835,0.004120039
835.2000122,0.004566771
835.4000244,0.002385816
835.5999756,0.00416203
835.7999878,0.003436757
836,0.004344122
836.2000122,0.003479544
836.4000244,0.002970707
836.5999756,0.004211004
836.7999878,0.002275042
837,0.003027823
837.2000122,0.004640927
837.4000244,0.004433498
837.5999756,0.003815794
837.7999878,0.004121928
838,0.003214251
838.2000122,0.003470367
838.4000244,0.004735352
838.5999756,0.004165506
838.7999878,0.004118136
839,0.005267809
839.2000122,0.004283498
839.4000244,0.002088778
839.5999756,0.003125632
839.7999878,0.00445614
840,0.003610787
840.2000122,0.003479259
840.4000244,0.003061735
840.5999756,0.002918234
840.7999878,0.004663397
841,0.003471345
841.2000122,0.003148886
841.4000244,0.003379925
841.5999756,0.002810644
841.7999878,0.003610443
842,0.003905107
842.2000122,0.00333395
842.4000244,0.002837797
842.5999756,0.003863338
842.7999878,0.003980798
843,0.004212101
843.2000122,0.004464336
843.4000244,0.003194937
843.5999756,0.003195192
843.7999878,0.00388084
844,0.004214751
844.2000122,0.002703438
844.4000244,0.003948209
844.5999756,0.003563297
844.7999878,0.003315809
845,0.003895995
845.2000122,0.002259699
845.4000244,0.002186708
845.5999756,0.003520047
845.7999878,0.002912776
846,0.003258814
846.2000122,0.002723789
846.4000244,0.002514034
846.5999756,0.004233108
846.7999878,0.002604067
847,0.003518675
847.2000122,0.002848243
847.4000244,0.003484205
847.5999756,0.002872099
847.7999878,0.003136947
848,0.003190513
848.2000122,0.003450922
848.4000244,0.002684273
848.5999756,0.002399052
848.7999878,0.002538316
849,0.00356181
849.2000122,0.004377676
849.4000244,0.003885464
849.5999756,0.003306747
849.7999878,0.00405447
850,0.003480627
850.2000122,0.003606308
850.4000244,0.004288222
850.5999756,0.003789504
850.7999878,0.002714233
851,0.003281195
851.2000122,0.002865859
851.4000244,0.002826943
851.5999756,0.002165119
851.7999878,0.003572043
852,0.004123481
852.2000122,0.002753376
852.4000244,0.002636146
852.5999756,0.002370864
852.7999878,0.003452558
853,0.003748205
853.2000122,0.003781765
853.4000244,0.00342683
853.5999756,0.003467929
853.7999878,0.003258766
854,0.003278408
854.2000122,0.003060509
854.4000244,0.002354724
854.5999756,0.003827086
854.7999878,0.002902162
855,0.001593801
855.2000122,0.004012167
855.4000244,0.003430093
855.5999756,0.002846829
855.7999878,0.002226055
856,0.004134747
856.2000122,0.00321145
856.4000244,0.003137242
856.5999756,0.003270841
856.7999878,0.003517269
857,0.003063768
857.2000122,0.003632152
857.4000244,0.00447065
857.5999756,0.002668423
857.7999878,0.003007456
858,0.003806581
858.2000122,0.004026992
858.4000244,0.003119302
858.5999756,0.004047891
858.7999878,0.004933649
859,0.003123975
859.2000122,0.004507433
859.4000244,0.004361383
859.5999756,0.003801414
859.7999878,0.003669959
860,0.003860039
860.2000122,0.004864626
860.4000244,0.004028244
860.5999756,0.004936506
860.7999878,0.004452175
861,0.003742814
861.2000122,0.004124004
861.4000244,0.004098682
861.5999756,0.004127447
861.7999878,0.004458256
862,0.004628159
862.2000122,0.003807706
862.4000244,0.005275967
862.5999756,0.003935208
862.7999878,0.004513308
863,0.004493119
863.2000122,0.003819654
863.4000244,0.004112429
863.5999756,0.004444099
863.7999878,0.004768708
864,0.004300443
864.2000122,0.004462226
864.4000244,0.004090604
864.5999756,0.00416672
864.7999878,0.005077155
865,0.004960211
865.2000122,0.005292509
865.4000244,0.004536788
865.5999756,0.004002496
865.7999878,0.00471799
866,0.005458988
866.2000122,0.005162175
866.4000244,0.005462363
866.5999756,0.005664749
866.7999878,0.005528891
867,0.004819732
867.2000122,0.005424491
867.4000244,0.005214226
867.5999756,0.005384611
867.7999878,0.005654446
868,0.00490189
868.2000122,0.00562714
868.4000244,0.005699191
868.5999756,0.005427029
868.7999878,0.005599757
869,0.004661385
869.2000122,0.00550693
869.4000244,0.006182787
869.5999756,0.006125439
869.7999878,0.005660259
870,0.005018619
870.2000122,0.005726771
870.4000244,0.005813099
870.5999756,0.004976348
870.7999878,0.005956815
871,0.006148442
871.2000122,0.006245951
871.4000244,0.005552555
871.5999756,0.005363476
871.7999878,0.005638842
872,0.005842189
872.2000122,0.005688265
872.4000244,0.005124152
872.5999756,0.005367905
872.7999878,0.005648482
873,0.005350522
873.2000122,0.005512971
873.4000244,0.005483058
873.5999756,0.005309709
873.7999878,0.00598979
874,0.005289258
874.2000122,0.005164234
874.4000244,0.005853122
874.5999756,0.005470057
874.7999878,0.005471105
875,0.005636621
