Wavelength (nm),z
585.4000244,-0.026802734
585.2199707,-0.027022833
585.039978,-0.026963508
584.8599854,-0.02681255
584.6799927,-0.026888208
584.5,-0.026801616
584.3200073,-0.027004583
584.1400146,-0.026714932
583.960022,-0.026708458
583.7800293,-0.026472729
583.5999756,-0.026999522
583.4199829,-0.02647119
583.2399902,-0.02679247
583.0599976,-0.026488189
582.8800049,-0.02720389
582.7000122,-0.026715437
582.5200195,-0.027010605
582.3400269,-0.026746726
582.1599731,-0.026358927
581.9799805,-0.026410725
581.7999878,-0.026707221
581.6199951,-0.026855839
581.4400024,-0.027305039
581.2600098,-0.026611682
581.0800171,-0.026600529
580.9000244,-0.026792521
580.7199707,-0.026694866
580.539978,-0.026923375
580.3599854,-0.026600895
580.1799927,-0.026402162
580,-0.02674867
579.8200073,-0.026570223
579.6400146,-0.026633296
579.460022,-0.026224092
579.2800293,-0.0266238
579.0999756,-0.026622254
578.9199829,-0.026278399
578.7399902,-0.02585266
578.5599976,-0.026021721
578.3800049,-0.0263368
578.2000122,-0.026458353
578.0200195,-0.026244242
577.8400269,-0.025883824
577.6599731,-0.026170682
577.4799805,-0.025874723
577.2999878,-0.026168298
577.1199951,-0.026230928
576.9400024,-0.026036821
576.7600098,-0.026062001
576.5800171,-0.026197208
576.4000244,-0.025987748
576.2199707,-0.026257958
576.039978,-0.026212394
575.8599854,-0.026181869
575.6799927,-0.026245968
575.5,-0.026397331
575.3200073,-0.02659598
575.1400146,-0.026949277
574.960022,-0.026616929
574.7800293,-0.026634201
574.5999756,-0.026878571
574.4199829,-0.026592182
574.2399902,-0.026763394
574.0599976,-0.026666664
573.8800049,-0.027026655
573.7000122,-0.027036378
573.5200195,-0.026967857
573.3400269,-0.027211202
573.1599731,-0.026899483
572.9799805,-0.02645776
572.7999878,-0.026696805
572.6199951,-0.02677303
572.4400024,-0.026659757
572.2600098,-0.026373016
572.0800171,-0.026283756
571.9000244,-0.026958928
571.7199707,-0.026311411
571.539978,-0.026830053
571.3599854,-0.026417227
571.1799927,-0.026503475
571,-0.026778733
570.8200073,-0.0268456
570.6400146,-0.026946919
570.460022,-0.02662552
570.2800293,-0.026600864
570.0999756,-0.02676191
569.9199829,-0.026823498
569.7399902,-0.026862241
569.5599976,-0.027047386
569.3800049,-0.026503118
569.2000122,-0.026474945
569.0200195,-0.026784144
568.8400269,-0.026624467
568.6599731,-0.027021224
568.4799805,-0.026479879
568.2999878,-0.026555989
568.1199951,-0.026830457
567.9400024,-0.026900135
567.7600098,-0.026750268
567.5800171,-0.027067684
567.4000244,-0.026685677
567.2199707,-0.026872445
567.039978,-0.026680814
566.8599854,-0.026619621
566.6799927,-0.026417559
566.5,-0.026617829
566.3200073,-0.026512312
566.1400146,-0.027001319
565.960022,-0.026789989
565.7800293,-0.027468784
565.5999756,-0.026668282
565.4199829,-0.027022604
565.2399902,-0.02668884
565.0599976,-0.026647024
564.8800049,-0.027165847
564.7000122,-0.026797937
564.5200195,-0.026769875
564.3400269,-0.026935712
564.1599731,-0.026809746
563.9799805,-0.02713237
563.7999878,-0.026606785
563.6199951,-0.027069842
563.4400024,-0.026880542
563.2600098,-0.027197031
563.0800171,-0.026768582
562.9000244,-0.026872657
562.7199707,-0.026689546
562.539978,-0.027009629
562.3599854,-0.026676668
562.1799927,-0.027258487
562,-0.026534809
561.8200073,-0.026816517
561.6400146,-0.026576646
561.460022,-0.026959004
561.2800293,-0.026892938
561.0999756,-0.027015593
560.9199829,-0.027004929
560.7399902,-0.027128158
560.5599976,-0.027227318
560.3800049,-0.027002502
560.2000122,-0.02670983
560.0200195,-0.027275892
559.8400269,-0.02677127
559.6599731,-0.026922936
559.4799805,-0.026896363
559.2999878,-0.026868304
559.1199951,-0.026658539
558.9400024,-0.027251424
558.7600098,-0.02708194
558.5800171,-0.026845586
558.4000244,-0.027217565
558.2199707,-0.026700722
558.039978,-0.026588209
557.8599854,-0.026765699
557.6799927,-0.026770122
557.5,-0.026478671
557.3200073,-0.026737506
557.1400146,-0.026666073
556.960022,-0.026500883
556.7800293,-0.027006043
556.5999756,-0.026446177
556.4199829,-0.026450818
556.2399902,-0.026823245
556.0599976,-0.026830308
555.8800049,-0.026672091
555.7000122,-0.025557945
555.5200195,-0.026640372
555.3400269,-0.02652226
555.1599731,-0.026698587
554.9799805,-0.026397491
554.7999878,-0.026712794
554.6199951,-0.026958937
554.4400024,-0.026399631
554.2600098,-0.026735803
554.0800171,-0.027062628
553.9000244,-0.026834931
553.7199707,-0.027019376
553.539978,-0.026756138
553.3599854,-0.026344232
553.1799927,-0.02702326
553,-0.027150096
552.8200073,-0.027352043
552.6400146,-0.026826927
552.460022,-0.026744107
552.2800293,-0.026741767
552.0999756,-0.026908973
551.9199829,-0.026955413
551.7399902,-0.027065061
551.5599976,-0.026780736
551.3800049,-0.026847361
551.2000122,-0.026885999
551.0200195,-0.02669584
550.8400269,-0.027023779
550.6599731,-0.026941448
550.4799805,-0.026860414
550.2999878,-0.02693986
550.1199951,-0.027199168
549.9400024,-0.026871761
549.7600098,-0.027084237
549.5800171,-0.027248796
549.4000244,-0.026919629
549.2199707,-0.027199989
549.039978,-0.027073858
548.8599854,-0.027179237
548.6799927,-0.02663954
548.5,-0.026836205
548.3200073,-0.027046157
548.1400146,-0.027075265
547.960022,-0.02685779
547.7800293,-0.026956081
547.5999756,-0.026583243
547.4199829,-0.027133675
547.2399902,-0.027276399
547.0599976,-0.026834765
546.8800049,-0.026831381
546.7000122,-0.027089633
546.5200195,-0.026970677
546.3400269,-0.026944492
546.1599731,-0.026947763
545.9799805,-0.026739372
545.7999878,-0.026518743
545.6199951,-0.026075408
545.4400024,-0.026822867
545.2600098,-0.025974762
545.0800171,-0.026296789
544.9000244,-0.026061343
544.7199707,-0.026092969
544.539978,-0.025796641
544.3599854,-0.025951257
544.1799927,-0.02598663
544,-0.02545768
543.8200073,-0.025664642
543.6400146,-0.025330339
543.460022,-0.025048427
543.2800293,-0.025446562
543.0999756,-0.024950016
542.9199829,-0.024759434
542.7399902,-0.024745179
542.5599976,-0.024791673
542.3800049,-0.025164563
542.2000122,-0.024806373
542.0200195,-0.024455018
541.8400269,-0.024637518
541.6599731,-0.024191391
541.4799805,-0.024596173
541.2999878,-0.024436502
541.1199951,-0.024112351
540.9400024,-0.02449083
540.7600098,-0.024191109
540.5800171,-0.023993401
540.4000244,-0.024658451
540.2199707,-0.024332404
540.039978,-0.024320595
539.8599854,-0.024356555
539.6799927,-0.024853379
539.5,-0.024526225
539.3200073,-0.024367925
539.1400146,-0.024470564
538.960022,-0.024611725
538.7799683,-0.024784546
538.5999756,-0.025062077
538.4199829,-0.024970857
538.2399902,-0.02499124
538.0599976,-0.025371265
537.8800049,-0.025459223
537.7000122,-0.025960173
537.5200195,-0.025729472
537.3400269,-0.025800115
537.1599731,-0.025981743
536.9799805,-0.026132388
536.7999878,-0.026122957
536.6199951,-0.02626369
536.4400024,-0.026504535
536.2600098,-0.026562199
536.0800171,-0.026235497
535.9000244,-0.026511261
535.7199707,-0.026842823
535.539978,-0.026917245
535.3599854,-0.026508974
535.1799927,-0.027003666
535,-0.027324844
534.8200073,-0.027427647
534.6400146,-0.027278418
534.460022,-0.027085064
534.2799683,-0.027079731
534.0999756,-0.027178595
533.9199829,-0.027469324
533.7399902,-0.02769981
533.5599976,-0.027283531
533.3800049,-0.027423006
533.2000122,-0.027307699
533.0200195,-0.027454548
532.8400269,-0.027334949
532.6599731,-0.027713582
532.4799805,-0.027201926
532.2999878,-0.027792178
532.1199951,-0.027818285
531.9400024,-0.027901281
531.7600098,-0.028002702
531.5800171,-0.027893467
531.4000244,-0.027690239
531.2199707,-0.027478492
531.039978,-0.028053315
530.8599854,-0.02760485
530.6799927,-0.028078482
530.5,-0.028077098
530.3200073,-0.027228883
530.1400146,-0.027754236
529.960022,-0.027783204
529.7799683,-0.027230978
529.5999756,-0.027261255
529.4199829,-0.028077301
529.2399902,-0.027284203
529.0599976,-0.027842829
528.8800049,-0.028068904
528.7000122,-0.027682323
528.5200195,-0.027424993
528.3400269,-0.027808599
528.1599731,-0.027788946
527.9799805,-0.027680863
527.7999878,-0.027903853
527.6199951,-0.027754312
527.4400024,-0.027537005
527.2600098,-0.027726395
527.0800171,-0.027615044
526.9000244,-0.027670981
526.7199707,-0.027513545
526.539978,-0.027427031
526.3599854,-0.027396576
