Wavelength (nm),zs
861,99.12722778
861.2000122,99.20482635
861.4000244,99.13954926
861.5999756,99.1913681
861.7999878,99.15440369
862,99.20778656
862.2000122,99.14995575
862.4000244,99.21464539
862.5999756,99.12887573
862.7999878,99.17061615
863,99.2015152
863.2000122,99.11231232
863.4000244,99.20155334
863.5999756,99.22014618
863.7999878,99.14871216
864,99.16816711
864.2000122,99.13310242
864.4000244,99.20944977
864.5999756,99.14204407
864.7999878,99.20579529
865,99.17499542
865.2000122,99.23014832
865.4000244,99.16973114
865.5999756,99.12419128
865.7999878,99.13189697
866,99.11898804
866.2000122,99.15022278
866.4000244,99.18203735
866.5999756,99.14414978
866.7999878,99.18096161
867,99.17062378
867.2000122,99.1450882
867.4000244,99.1193161
867.5999756,99.13571167
867.7999878,99.16192627
868,99.19020844
868.2000122,99.18783569
868.4000244,99.1577301
868.5999756,99.19467926
868.7999878,99.20629883
869,99.25753784
869.2000122,99.20515442
869.4000244,99.23508453
869.5999756,99.25718689
869.7999878,99.20031738
870,99.19326782
870.2000122,99.28460693
870.4000244,99.24615479
870.5999756,99.32170868
870.7999878,99.32501984
871,99.34384155
871.2000122,99.28822327
871.4000244,99.28023529
871.5999756,99.334198
871.7999878,99.33229065
872,99.320961
872.2000122,99.33581543
872.4000244,99.34165955
872.5999756,99.40314484
872.7999878,99.32598114
873,99.39737701
873.2000122,99.41209412
873.4000244,99.42337799
873.5999756,99.40519714
873.7999878,99.36560059
874,99.39519501
874.2000122,99.43431854
874.4000244,99.43723297
874.5999756,99.45594025
874.7999878,99.3302002
875,99.40106964
875.2000122,99.47941589
875.4000244,99.50076294
875.5999756,99.48181152
875.7999878,99.49092102
876,99.49930573
876.2000122,99.53016663
876.4000244,99.57067108
876.5999756,99.47685242
876.7999878,99.44113159
877,99.48973083
877.2000122,99.47306824
877.4000244,99.57542419
877.5999756,99.43138123
877.7999878,99.45818329
878,99.41271973
878.2000122,99.49761963
878.4000244,99.37514496
878.5999756,99.47048187
878.7999878,99.42263031
879,99.44268799
879.2000122,99.47745514
879.4000244,99.48028564
879.5999756,99.41933441
879.7999878,99.43634796
880,99.36599731
880.2000122,99.40732574
880.4000244,99.34887695
880.5999756,99.33509064
880.7999878,99.34456635
881,99.29405212
881.2000122,99.28967285
881.4000244,99.2628479
881.5999756,99.18544769
881.7999878,99.31275177
882,99.21835327
882.2000122,99.31180573
882.4000244,99.19049072
882.5999756,99.13383484
882.7999878,99.11112976
883,99.07592773
883.2000122,99.0905304
883.4000244,99.04440308
